Instructor,Sub,Crse,Sec,Day,Time,Room
murdochb,BIO,140,01B,R,09:30 am-12:20 pm,SCIENC 334
wasielewskit,BIO,200,01,TR,09:30 am-10:45 am,SCIENC 416
wasielewskit,BIO,200,02,TR,11:00 am-12:15 pm,SCIENC 416
lucink,BIO,204,01,TR,11:00 am-12:15 pm,SCIENC 320
lucink,BIO,204,02,TR,12:30 pm-01:45 pm,SCIENC 320
pasinij,BIO,204,03,TR,08:00 am-09:15 am,SCIENC 320
pasinij,BIO,204,04,TR,09:30 am-10:45 am,SCIENC 320
jacobsm,BIO,204,05,M,04:00 pm-06:45 pm,SCIENC 320
jacobsm,BIO,204,06,TR,05:30 pm-06:45 pm,SCIENC 320
grotha,BIO,210,01,MWF,10:00 am-10:50 am,SCIENC 134
connollyb,BIO,222,01,MWF,11:00 am-11:50 am,SCIENC 416
connollyb,BIO,222,01,R,09:30 am-12:20 pm,SCIENC 318
grotha,BIO,230,01,MWF,11:00 am-11:50 am,SCIENC 134
grotha,BIO,230,01,M,02:00 pm-04:50 pm,SCIENC 335
mattinglyb,BIO,240,02,MWF,10:00 am-10:50 am,SCIENC 231
mattinglyb,BIO,240,02,T,11:00 am-01:50 pm,SCIENC 331
lucink,BIO,280,01, ,TBA,TBA
idjadij,BIO,280,02, ,TBA,TBA
cowlese,BIO,301,01X,T,04:00 pm-06:45 pm,SCIENC 116
murdochb,BIO,302,01X,T,09:30 am-11:20 am,SCIENC 341
murdochb,BIO,302,02X,T,12:30 pm-02:20 pm,SCIENC 341
veerappanv,BIO,304,01,MWF,09:00 am-09:50 am,SCIENC 137
veerappanv,BIO,304,02,MWF,10:00 am-10:50 am,SCIENC 137
grahamm,BIO,305,01,MWF,01:00 pm-01:50 pm,SCIENC 104
kwakuk,BIO,305,02,T,04:00 pm-06:45 pm,SCIENC 104
gyurem,BIO,314,01,R,09:30 am-11:20 am,SCIENC 331
gyurem,BIO,314,02,R,12:30 pm-02:20 pm,SCIENC 331
gyurem,BIO,314,03,R,04:00 pm-05:50 pm,SCIENC 331
mattinglyb,BIO,319,01,T,09:00 am-10:50 am,SCIENC 331
eppk,BIO,319,01,T,09:00 am-10:50 am,SCIENC 331
idjadij,BIO,319,01,T,09:00 am-10:50 am,SCIENC 331
mattinglyb,BIO,320,01, ,TBA,TBA
eppk,BIO,320,01, ,TBA,TBA
idjadij,BIO,320,01, ,TBA,TBA
hulveyj,BIO,334,01,MWF,09:00 am-09:50 am,SCIENC 231
hulveyj,BIO,334,01,W,02:00 pm-04:50 pm,SCIENC 341
grahamm,BIO,336,01,MWF,12:00 pm-12:50 pm,SCIENC 432
grahamm,BIO,336,01,R,11:00 am-01:50 pm,SCIENC 333
lucink,BIO,350,01,MWF,10:00 am-10:50 am,SCIENC 432
lucink,BIO,350,01A,M,02:00 pm-04:50 pm,SCIENC 315
lucink,BIO,380,01, ,TBA,TBA
grotha,BIO,380,02, ,TBA,TBA
connollyb,BIO,380,03, ,TBA,TBA
grahamm,BIO,380,04, ,TBA,TBA
connollyb,BIO,380,05, ,TBA,TBA
eppk,BIO,380,06, ,TBA,TBA
grahamm,BIO,380,07, ,TBA,TBA
hulveyj,BIO,380,08, ,TBA,TBA
murdochb,BIO,380,09, ,TBA,TBA
connollyb,BIO,380,10, ,TBA,TBA
lauxd,BIO,380,11, ,TBA,TBA
idjadij,BIO,380,12, ,TBA,TBA
cowlese,BIO,424,01,MWF,10:00 am-10:50 am,SCIENC 416
cowlese,BIO,424,01,T,09:30 am-12:20 pm,SCIENC 335
connollyb,BIO,438,01,MWF,01:00 pm-01:50 pm,SCIENC 416
connollyb,BIO,438,01,R,02:00 pm-04:50 pm,SCIENC 318
veerappanv,BIO,460,01,MWF,12:00 pm-12:50 pm,SCIENC 416
veerappanv,BIO,460,01,R,09:30 am-12:20 pm,SCIENC 335
lauxd,BIO,462,01,MWF,11:00 am-11:50 am,SCIENC 432
lauxd,BIO,462,01,M,02:00 pm-04:50 pm,SCIENC 334
eppk,BIO,466,01,M,02:00 pm-04:50 pm,SCIENC 416
eppk,BIO,466,02,W,02:00 pm-04:50 pm,SCIENC 416
lucink,BIO,480,01, ,TBA,TBA
veerappanv,BIO,480,02, ,TBA,TBA
grahamm,BIO,480,03, ,TBA,TBA
eppk,BIO,480,04, ,TBA,TBA
lucink,BIO,480,05, ,TBA,TBA
hulveyj,BIO,480,06, ,TBA,TBA
murdochb,BIO,480,07, ,TBA,TBA
lauxd,BIO,480,08, ,TBA,TBA
connollyb,BIO,480,09, ,TBA,TBA
lauxd,BIO,490,01, ,TBA,TBA
murdochb,BIO,490,02, ,TBA,TBA
grotha,BIO,490,03, ,TBA,TBA
murdochb,BIO,490,04, ,TBA,TBA
lucink,BIO,490,05, ,TBA,TBA
mattinglyb,BIO,490,06, ,TBA,TBA
connollyb,BIO,490,07, ,TBA,TBA
gyurem,BIO,490,08, ,TBA,TBA
murdochb,BIO,491,01, ,TBA,TBA
murdochb,BIO,491,02, ,TBA,TBA
veerappanv,BIO,491,03, ,TBA,TBA
lucink,BIO,491,04, ,TBA,TBA
hulveyj,BIO,491,05, ,TBA,TBA
perryk,BUS,201,01,MWF,10:00 am-10:50 am,COMBLD 218
erwinc,BUS,201,02,TR,09:30 am-10:45 am,COMBLD 218
erwinc,BUS,201,03,TR,11:00 am-12:15 pm,COMBLD 218
synnottc,BUS,201,04,MWF,09:00 am-09:50 am,COMBLD 108
norvaln,BUS,201,05,T,04:00 pm-06:45 pm,GODDAR 203
perryk,BUS,201,06,MWF,11:00 am-11:50 am,COMBLD 218
norvaln,BUS,201,07,TR,02:00 pm-03:15 pm,COMBLD 218
aventa,BUS,225,01,MWF,12:00 pm-12:50 pm,COMBLD 109
halls,BUS,225,02,W,04:00 pm-06:45 pm,COMBLD 201
aventa,BUS,225,03,MWF,10:00 am-10:50 am,COMBLD 108
nardellas,BUS,225,04,TR,12:30 pm-01:45 pm,COMBLD 107
nardellas,BUS,225,05,TR,02:00 pm-03:15 pm,COMBLD 107
grosjeanb,BUS,225,06,TR,11:00 am-12:15 pm,COMBLD 107
chattertonc,BUS,240,01,MWF,09:00 am-09:50 am,COMBLD 201
dewildea,BUS,250,01,M,04:00 pm-06:45 pm,COMBLD 218
dewildea,BUS,250,02,MWF,10:00 am-10:50 am,COMBLD 109
dewildea,BUS,301,01,MWF,09:00 am-09:50 am,COMBLD 109
buckw,BUS,301,02,TR,09:30 am-10:45 am,GODDAR 200
buckw,BUS,301,03,TR,11:00 am-12:15 pm,GODDAR 200
dewildea,BUS,301,04,MWF,12:00 pm-12:50 pm,COMBLD 108
villanuevae,BUS,307,01,MWF,12:00 pm-12:50 pm,COMBLD 218
moylanw,BUS,321,01,MW,04:00 pm-05:15 pm,COMBLD 109
moylanw,BUS,325,01,MW,05:30 pm-06:45 pm,COMBLD 109
grosjeanb,BUS,326,01,T,07:00 pm-09:45 pm,COMBLD 218
kangm,BUS,327,01,TR,02:00 pm-03:15 pm,SCIENC 234
erwinc,BUS,331,01,T,07:00 pm-09:45 pm,COMBLD 108
ferrarol,BUS,333,01,M,04:00 pm-06:45 pm,COMBLD 201
chattertonc,BUS,340,01,R,09:30 am-12:15 pm,COMBLD 201
kaneg,BUS,342,01,MWF,12:00 pm-12:50 pm,COMBLD 107
kaneg,BUS,342,02,MWF,10:00 am-10:50 am,COMBLD 201
buckw,BUS,351,01,TR,02:00 pm-03:15 pm,COMBLD 201
buckw,BUS,351,02,TR,04:00 pm-05:15 pm,COMBLD 108
pakdilf,BUS,410,01,W,04:00 pm-06:45 pm,WEBB 314
kaneg,BUS,411,01,MWF,01:00 pm-01:50 pm,COMBLD 107
grandhis,BUS,428,01,TR,12:30 pm-01:45 pm,SCIENC 234
kangm,BUS,429,01,W,04:00 pm-06:45 pm,SCIENC 234
ohn,BUS,431,01,TR,12:30 pm-01:45 pm,COMBLD 218
ohn,BUS,431,02,TR,09:30 am-10:45 am,GODDAR 202
erwinc,BUS,431,03,TR,02:00 pm-03:15 pm,GODDAR 201
deckerg,BUS,436,01,T,07:00 pm-09:45 pm,COMBLD 109
villanuevae,BUS,450,01,MWF,08:00 am-08:50 am,COMBLD 218
pakdilf,BUS,480,01, ,TBA,TBA
pakdilf,BUS,480,02, ,TBA,TBA
buckw,BUS,480,03, ,TBA,TBA
villanuevae,BUS,480,04, ,TBA,TBA
kaneg,BUS,480,05, ,TBA,TBA
grandhis,BUS,480,06, ,TBA,TBA
chattertonc,BUS,490,01V,M,07:00 pm-08:15 pm,COMBLD 201
chattertonc,BUS,490,02V,R,08:00 am-09:15 am,COMBLD 201
pakdilf,BUS,492,01, ,TBA,TBA
grandhis,BUS,492,02, ,TBA,TBA
donohuek,BIS,205,01,TR,08:00 am-09:15 am,WEBB 307
reays,BIS,205,02,MWF,08:00 am-08:50 am,WEBB 307
reays,BIS,205,03,MWF,09:00 am-09:50 am,WEBB 307
kunenen,BIS,205,04,TR,09:30 am-10:45 am,WEBB 307
dexterr,BIS,205,05,W,07:00 pm-09:45 pm,WEBB 307
albinie,BIS,362,01,M,04:00 pm-06:45 pm,WEBB 307
donohuek,BIS,365,01,TR,09:30 am-10:45 am,WEBB 407
alkhamaieshs,BIS,370,01,TR,05:30 pm-06:45 pm,WEBB 307
alkhamaieshs,BIS,370,02,TR,07:00 pm-08:15 pm,WEBB 307
citursa,BIS,373,01,MF,02:00 pm-03:15 pm,WEBB 407
citursa,BIS,379,01,M,04:00 pm-06:45 pm,WEBB 407
schallerj,BIS,442,01,W,04:00 pm-06:45 pm,SCIENC 115
johnsond,BIS,447,01,T,07:00 pm-09:45 pm,WEBB 407
citursa,BIS,447,02,TR,11:00 am-12:15 pm,WEBB 407
kunenen,BIS,449,01,TR,12:30 pm-01:45 pm,WEBB 407
kunenen,BIS,449,02,TR,02:00 pm-03:15 pm,WEBB 407
citursa,BIS,461,01,MW,07:00 pm-08:15 pm,WEBB 407
citursa,BIS,480,01, ,TBA,TBA
couture-palmerinop,CAS,201,E25, ,TBA,TBA
couture-palmerinop,CAS,222,E25, ,TBA,ONLINE
hek,CHE,211,01,MWF,09:00 am-09:50 am,SCIENC 117
hek,CHE,211,02,MWF,10:00 am-10:50 am,SCIENC 117
hek,CHE,211,03,MWF,01:00 pm-01:50 pm,SCIENC 117
islams,CHE,211,04,MW,04:00 pm-05:15 pm,SCIENC 117
islams,CHE,211,05,MW,05:30 pm-06:45 pm,SCIENC 117
parcinskia,CHE,213,01,M,11:00 am-01:50 pm,SCIENC 440
parcinskia,CHE,213,02,M,02:00 pm-04:50 pm,SCIENC 440
ahmadis,CHE,213,03,T,04:00 pm-06:50 pm,SCIENC 440
ahmadis,CHE,213,04,T,07:00 pm-09:50 pm,SCIENC 440
swansons,CHE,213,05,W,04:00 pm-06:50 pm,SCIENC 440
chirakul-maddenp,CHE,213,06,R,11:00 am-01:50 pm,SCIENC 440
chirakul-maddenp,CHE,213,07,R,02:00 pm-04:50 pm,SCIENC 440
kozad,CHE,213,08,M,07:00 pm-09:50 pm,SCIENC 440
swansons,CHE,213,09,W,07:00 pm-09:50 pm,SCIENC 440
kozad,CHE,217,01,MWF,10:00 am-10:50 am,SCIENC 104
candlerj,CHE,217,01A,T,07:00 pm-09:50 pm,SCIENC 441
candlerj,CHE,217,01B,M,07:00 pm-09:50 pm,SCIENC 441
toedtj,CHE,318,01,MWF,01:00 pm-01:50 pm,SCIENC 432
toedtj,CHE,319,01,T,02:00 pm-04:50 pm,SCIENC 434
islams,CHE,425,01,MWF,12:00 pm-12:50 pm,SCIENC 231
islams,CHE,425,01A,F,02:00 pm-05:50 pm,SCIENC 434
toedtj,CHE,480,01, ,TBA,TBA
hek,CHE,480,02, ,TBA,TBA
hek,CHE,480,03, ,TBA,TBA
toedtj,CHE,490,01, ,TBA,TBA
islams,CHE,492,01, ,TBA,TBA
murphyj,COM,100,02,MWF,10:00 am-10:50 am,COMBLD 107
curtiss,COM,101,01,MWF,11:00 am-11:50 am,FAIC 115
utterbacka,COM,120,01,TR,09:30 am-10:45 am,COMBLD 114A
utterbacka,COM,120,01,TR,09:30 am-10:45 am,COMBLD 114D
utterbacka,COM,120,01,TR,09:30 am-10:45 am,COMBLD 114B
ammarim,COM,220,01X,T,07:00 pm-09:45 pm,COMBLD 114A
ammarim,COM,220,01X,T,07:00 pm-09:45 pm,COMBLD 114D
ammarim,COM,220,01X,T,07:00 pm-09:45 pm,COMBLD 114B
carlsonr,COM,220,02X,M,04:00 pm-06:45 pm,COMBLD 114A
carlsonr,COM,220,02X,M,04:00 pm-06:45 pm,COMBLD 114D
carlsonr,COM,220,02X,M,04:00 pm-06:45 pm,COMBLD 114B
ammarim,COM,220,03X,T,04:00 pm-06:45 pm,COMBLD 114A
ammarim,COM,220,03X,T,04:00 pm-06:45 pm,COMBLD 114D
ammarim,COM,220,03X,T,04:00 pm-06:45 pm,COMBLD 114B
dayb,COM,220,04X,TR,11:00 am-12:15 pm,COMBLD 226
freunde,COM,230,01,T,04:00 pm-06:45 pm,COMBLD 109
freunde,COM,230,02,W,04:00 pm-06:45 pm,COMBLD 218
curtiss,COM,230,03,TR,09:30 am-10:45 am,COMBLD 108
zatowskij,COM,245,01,T,04:00 pm-06:45 pm,COMBLD 226
utterbacka,COM,290,01, ,TBA,TBA
zatowskij,COM,291,01, ,TBA,TBA
utterbacka,COM,300,02,TR,12:30 pm-01:45 pm,FAIC 307
osterndorfw,COM,301,01,MWF,12:00 pm-12:50 pm,FAIC 115
osterndorfw,COM,330,01,MWF,09:00 am-09:50 am,FAIC 307
dayb,COM,357,01,TR,09:30 am-10:45 am,COMBLD 226
dayb,COM,380,01X,TR,02:00 pm-03:50 pm,FAIC 115
osterndorfw,COM,400,01,TR,09:30 am-10:45 am,FAIC 307
osterndorfw,COM,403,01,TR,11:00 am-12:15 pm,FAIC 307
aconforan,COM,410,01,M,04:00 pm-06:45 pm,COMBLD 107
utterbacka,COM,425,01,W,04:00 pm-06:45 pm,COMBLD 114A
utterbacka,COM,425,01,W,04:00 pm-06:45 pm,COMBLD 114D
utterbacka,COM,425,01,W,04:00 pm-06:45 pm,COMBLD 114B
utterbacka,COM,480,01, ,TBA,TBA
kangm,COM,480,02, ,TBA,TBA
utterbacka,COM,480,03, ,TBA,TBA
floodr,COM,480,04, ,TBA,TBA
cobbj,COM,490,01, ,TBA,TBA
floodr,COM,490,02, ,TBA,TBA
kangm,COM,490,03, ,TBA,TBA
dayb,COM,490,05, ,TBA,TBA
utterbacka,COM,490,06, ,TBA,TBA
osterndorfw,COM,490,07, ,TBA,TBA
zatowskij,COM,490,08, ,TBA,TBA
sokolovskayaa,COM,490,09, ,TBA,TBA
pellegrinid,CFT,100,01,F,12:00 pm-02:45 pm,FAIC 117
morgank,CFT,100,02,F,12:00 pm-02:45 pm,FAIC 118
floodr,CFT,205,01,MWF,10:00 am-11:10 am,COMBLD 226
dayb,CFT,401,01,M,02:00 pm-02:50 pm,COMBLD 226
tasneems,CSC,180,01,TR,11:00 am-12:15 pm,SCIENC 138
jahani,CSC,202,01,TR,02:00 pm-03:15 pm,SCIENC 135
onyey,CSC,205,01,TR,12:30 pm-01:45 pm,SCIENC 133
onyey,CSC,205,02,TR,02:00 pm-03:15 pm,SCIENC 133
johnsonj,CSC,210,01,MWF,09:00 am-09:50 am,SCIENC 138
bondoka,CSC,210,02,MWF,11:00 am-11:50 am,SCIENC 133
johnsonj,CSC,210,03,MWF,10:00 am-10:50 am,SCIENC 139
lavoiem,CSC,212,01,TR,09:30 am-10:45 am,SCIENC 135
castron,CSC,215,01,TR,08:00 am-09:15 am,SCIENC 135
rosienej,CSC,230,01,MWF,11:00 am-11:50 am,SCIENC 135
jahani,CSC,231,01,MWF,11:00 am-11:50 am,SCIENC 139
weselcouchc,CSC,249,01,M,04:00 pm-06:45 pm,SCIENC 135
bondoka,CSC,251,01,MWF,09:00 am-09:50 am,SCIENC 135
bondoka,CSC,251,02,MWF,10:00 am-10:50 am,SCIENC 135
gaok,CSC,270,01,MWF,10:00 am-10:50 am,SCIENC 138
gaok,CSC,270,02,MWF,02:00 pm-02:50 pm,SCIENC 138
dancikg,CSC,314,01,TR,02:00 pm-03:15 pm,SCIENC 138
rosienej,CSC,335,01,MWF,10:00 am-10:50 am,SCIENC 133
rosienej,CSC,335,02,MWF,09:00 am-09:50 am,SCIENC 139
rosienej,CSC,340,01,MW,04:00 pm-05:15 pm,SCIENC 139
elfoulyr,CSC,360,01,TR,11:00 am-12:15 pm,SCIENC 135
shendec,CSC,360,02,MW,04:00 pm-05:15 pm,SCIENC 133
soleymanpourr,CSC,360,03,TR,04:00 pm-05:15 pm,SCIENC 135
elfoulyr,CSC,360,04,TR,12:30 pm-01:45 pm,SCIENC 138
tasneems,CSC,440,01,TR,02:00 pm-03:15 pm,SCIENC 139
tasneems,CSC,440,02,R,04:00 pm-06:45 pm,SCIENC 138
gaok,CSC,445,01,MWF,11:00 am-11:50 am,SCIENC 138
gaok,CSC,445,02,MW,04:00 pm-05:15 pm,SCIENC 138
dancikg,CSC,450,01,TR,09:30 am-10:45 am,SCIENC 138
rosienej,CSC,480,01, ,TBA,TBA
tasneems,CSC,485,01, ,TBA,TBA
dancikg,CSC,490,01, ,TBA,TBA
marrettc,CED,300,01, ,TBA,TBA
kurtim,CRM,210,01,R,04:00 pm-06:45 pm,GODDAR 223
pestar,CRM,320,01,MWF,11:00 am-11:50 am,WEBB 313
pestar,CRM,320,02,MWF,12:00 pm-12:50 pm,WEBB 313
pestar,CRM,410,01,MWF,10:00 am-10:50 am,WEBB 313
lugow,CRM,450,01,W,04:00 pm-06:45 pm,WEBB 313
lugow,CRM,450,02,W,07:00 pm-09:45 pm,WEBB 313
severancet,CRM,475,01V,M,08:00 am-08:50 am,WEBB 215
pestar,CRM,480,01, ,TBA,TBA
kurtim,CRM,480,02, ,TBA,TBA
lugow,CRM,480,03, ,TBA,TBA
severancet,CRM,480,04, ,TBA,TBA
severancet,CRM,480,05, ,TBA,TBA
severancet,CRM,490,01, ,TBA,TBA
severancet,CRM,490,02, ,TBA,TBA
davism,DSC,501,E25, ,TBA,ONLINE
liux,DSC,503,E25, ,TBA,ONLINE
liux,DSC,503,E26, ,TBA,ONLINE
davism,DSC,504,E25, ,TBA,ONLINE
busij,DSC,505,E25, ,TBA,ONLINE
turgeonk,DSC,508,E25, ,TBA,ONLINE
bouleyt,ECE,215,01,TR,02:00 pm-03:15 pm,CECE 170
drewryt,ECE,301,01, ,TBA,TBA
swaminathans,ECE,330,01,T,09:30 am-12:15 pm,CECE 175
bouleyt,ECE,355,01,R,09:30 am-12:15 pm,CECE 175
bouleyt,ECE,400,01,T,04:00 pm-06:45 pm,CECE 175
swaminathans,ECE,401,01, ,TBA,TBA
laportek,ECE,405,01X,M,04:00 pm-06:45 pm,CECE 167
rezain,ECE,410,01X,W,04:00 pm-06:45 pm,CECE 175
leek,ECE,420,01X,M,04:00 pm-06:45 pm,CECE 175
dunnacks,ECE,445,01,MTWRF,08:00 am-03:30 pm,TBA
bouleyt,ECE,480,01, ,TBA,TBA
rezain,ECE,501,01X,W,04:00 pm-06:45 pm,CECE 175
leek,ECE,505,01X,M,04:00 pm-06:45 pm,CECE 175
laportek,ECE,506,01X,M,04:00 pm-06:45 pm,CECE 167
bouleyt,ECE,516,01, ,TBA,TBA
peacockj,ECE,565,01,MTWRF,08:00 am-03:30 pm,TBA
dunnacks,ECE,566,01, ,TBA,TBA
swaminathans,ECE,696,01, ,TBA,TBA
montemerloj,ECO,100,01,TR,12:30 pm-01:45 pm,COMBLD 108
karrenbergj,ECO,100,02,MWF,01:00 pm-01:50 pm,COMBLD 201
karrenbergj,ECO,100,03,MWF,02:00 pm-02:50 pm,COMBLD 201
ndiayem,ECO,200,01,MWF,11:00 am-11:50 am,COMBLD 109
cunninghamb,ECO,200,02,MWF,10:00 am-10:50 am,GODDAR 203
fortew,ECO,200,03,TR,09:30 am-10:45 am,GODDAR 201
fortew,ECO,200,04,TR,11:00 am-12:15 pm,GODDAR 201
ndiayem,ECO,201,01,MWF,12:00 pm-12:50 pm,GODDAR 203
ndiayem,ECO,201,02,MWF,01:00 pm-01:50 pm,GODDAR 203
volkmanv,ECO,201,03,MWF,09:00 am-09:50 am,GODDAR 201
montemerloj,ECO,201,04,TR,09:30 am-10:45 am,GODDAR 216
goodmand,ECO,201,05,TR,11:00 am-12:15 pm,GODDAR 216
eckenrothg,ECO,201,06,TR,02:00 pm-03:15 pm,GODDAR 203
saponaroj,ECO,201,07,M,04:00 pm-06:45 pm,GODDAR 208
weirl,ECO,215,01,TR,11:00 am-12:15 pm,SCIENC 238
weirl,ECO,215,02,TR,12:30 pm-01:45 pm,SCIENC 238
ndiayem,ECO,301,01,MWF,09:00 am-09:50 am,GODDAR 223
volkmanv,ECO,305,01,MWF,10:00 am-10:50 am,WEBB 307
cunninghamb,ECO,325,01,MWF,12:00 pm-12:50 pm,COMBLD 201
